Date,Price,High,Low,Volume,Last Close,Change,Var%,Open
2018-01-29,3.08,0,0,0,3.08,0.03,0.9,3.05
2018-01-26,3.05,0,0,0,3.05,-0.06,-1.8,3.11
2018-01-25,3.11,0,0,0,3.11,0,0.11,3.11
2018-01-22,3.08,0,0,0,3.08,0.02,0.65,3.06
2018-01-19,3.06,0,0,0,3.06,-0.02,-0.63,3.08
2018-01-18,3.07,0,0,0,3.07,0.03,0.87,3.04
2018-01-17,3.05,0,0,0,3.05,0.03,0.93,3.02
2018-01-16,3.02,0,0,0,3.02,0.03,0.87,2.99
2018-01-15,2.99,0,0,0,2.99,0.02,0.54,2.97
2018-01-12,2.98,0,0,0,2.98,0.01,0.27,2.97
2018-01-11,2.97,0,0,0,2.97,0,0,2.97
2018-01-10,3.02,0,0,0,3.02,0.02,0.52,3
2018-01-09,3.01,0,0,0,3.01,-0.01,-0.3,3.02
2018-01-08,3.01,0,0,0,3.01,-0.01,-0.3,3.02
2018-01-05,3.02,0,0,0,3.02,-0.06,-1.99,3.08
2018-01-04,3.08,3.09,3.09,1329,3.08,0.02,0.57,3.06
2018-01-03,3.07,0,0,0,3.07,-0.01,-0.29,3.08
2018-01-02,3.08,0,0,0,3.08,0,0.1,3.08
2017-12-29,3.07,0,0,0,3.07,0,0,3.07
2017-12-28,3.06,0,0,0,3.06,-0.01,-0.39,3.07
2017-12-27,3.07,0,0,0,3.07,0.08,2.74,2.99
2017-12-22,2.99,0,0,0,2.99,0,0,2.99
2017-12-21,2.98,0,0,0,2.98,0.01,0.29,2.97
2017-12-20,2.97,0,0,0,2.97,0,-0.05,2.97
2017-12-19,2.98,0,0,0,2.98,-0.02,-0.6,3
2017-12-18,2.99,0,0,0,2.99,0.02,0.81,2.97
2017-12-15,2.97,0,0,0,2.97,0.01,0.49,2.96
2017-12-13,2.96,0,0,0,2.96,0,0,2.96
2017-12-12,2.94,0,0,0,2.94,0,-0.08,2.94
2017-12-11,2.95,0,0,0,2.95,-0.02,-0.81,2.97
2017-12-08,2.97,0,0,1329,2.97,0,-0.02,2.97
2017-12-07,2.97,0,0,0,2.97,-0.04,-1.33,3.01
2017-12-05,3.05,0,0,0,3.05,0,0,3.05
