Date,Price
2018-01-29,3.08
2018-01-26,3.05
2018-01-25,3.11
2018-01-22,3.08
2018-01-19,3.06
2018-01-18,3.07
2018-01-17,3.05
2018-01-16,3.02
2018-01-15,2.99
2018-01-12,2.98
2018-01-11,2.97
2018-01-10,3.02
2018-01-09,3.01
2018-01-08,3.01
2018-01-05,3.02
2018-01-04,3.08
2018-01-03,3.07
2018-01-02,3.08
2017-12-29,3.07
2017-12-28,3.06
2017-12-27,3.07
2017-12-22,2.99
2017-12-21,2.98
2017-12-20,2.97
2017-12-19,2.98
2017-12-18,2.99
2017-12-15,2.97
2017-12-13,2.96
2017-12-12,2.94
2017-12-11,2.95
2017-12-08,2.97
2017-12-07,2.97
2017-12-05,3.05
2017-12-04,3.05
2017-12-01,3.05
2017-11-30,3.12
2017-11-29,3.12
2017-11-28,3.11
2017-11-27,3.12
2017-11-24,3.09
2017-11-23,3.09
2017-11-22,3.07
2017-11-21,3.05
2017-11-20,3.03
2017-11-17,3.06
2017-11-16,3.06
2017-11-15,3.06
2017-11-14,3.09
2017-11-13,3.12
2017-11-10,3.12
2017-11-09,3.16
2017-11-08,3.18
2017-11-07,3.2
2017-11-06,3.26
2017-11-03,3.27
2017-11-02,3.23
2017-11-01,3.28
2017-10-31,3.26
2017-10-30,3.21
2017-10-27,3.14
2017-10-26,3.14
2017-10-25,3.12
2017-10-24,3.1
2017-10-23,3.07
2017-10-20,3.07
2017-10-19,3.08
2017-10-18,3.04
2017-10-17,3.06
2017-10-16,3.06
2017-10-13,3.04
2017-10-12,3.07
2017-10-11,3.08
2017-10-10,3.06
2017-10-09,3.03
2017-10-06,3.04
2017-10-05,3.02
2017-10-04,3.02
2017-10-03,3
2017-10-02,3
2017-09-29,2.96
2017-09-28,2.96
2017-09-27,2.95
2017-09-26,2.92
2017-09-25,2.91
2017-09-22,2.96
2017-09-15,2.88
2017-09-14,2.88
2017-09-13,2.88
2017-09-12,2.89
2017-09-11,2.92
2017-09-08,2.93
2017-09-07,2.93
2017-09-05,2.91
2017-09-04,2.89
2017-09-01,2.88
2017-08-31,2.87
2017-08-30,2.86
2017-08-29,2.9
2017-08-25,2.95
2017-08-24,2.9
2017-08-23,2.92
2017-08-22,2.96
2017-08-21,2.95
2017-08-18,2.96
2017-08-17,2.98
2017-08-16,3.08
2017-08-15,3.06
2017-08-14,3.01
2017-08-11,3.01
2017-08-10,3.03
2017-08-09,3.05
2017-08-08,3.09
2017-08-07,3.1
2017-08-04,3.12
2017-08-03,3.12
2017-08-02,3.07
2017-08-01,3.04
2017-07-31,3.06
2017-07-28,3.08
2017-07-27,3.11
2017-07-26,3.12
2017-07-25,3.13
2017-07-24,3.11
2017-07-20,3.22
2017-07-19,3.2
2017-07-18,3.18
2017-07-17,3.21
2017-07-14,3.22
2017-07-13,3.25
2017-07-12,3.2
2017-07-11,3.18
2017-07-10,3.17
2017-07-07,3.19
2017-07-05,3.21
2017-06-29,3.18
2017-06-28,3.14
2017-06-27,3.15
2017-06-26,3.16
2017-06-23,3.12
2017-06-22,3.15
2017-06-21,3.19
2017-06-20,3.17
2017-06-19,3.2
2017-06-16,3.18
2017-06-15,3.2
2017-06-14,3.21
2017-06-13,3.28
2017-06-12,3.26
2017-06-09,3.37
2017-06-08,3.34
2017-06-07,3.33
2017-06-06,3.38
2017-06-05,3.36
2017-06-02,3.37
2017-06-01,3.35
2017-05-31,3.29
2017-05-30,3.23
2017-05-26,3.26
2017-05-25,3.23
2017-05-24,3.22
2017-05-23,3.27
2017-05-22,3.29
2017-05-19,3.23
2017-05-18,3.18
2017-05-17,3.22
2017-05-16,3.18
2017-05-15,3.21
2017-05-12,3.24
2017-05-11,3.16
2017-05-10,3.19
2017-05-09,3.3
2017-05-08,3.24
2017-05-04,3.26
2017-05-03,3.29
2017-05-02,3.1
2017-04-28,3.1
2017-04-27,3.07
2017-04-26,3.01
2017-04-25,2.95
2017-04-24,2.93
2017-04-21,2.96
2017-04-20,2.96
2017-04-19,2.96
2017-04-18,2.97
2017-04-13,2.97
2017-04-12,2.97
2017-04-11,2.93
2017-04-10,2.94
2017-04-06,2.88
2017-04-04,2.87
2017-04-03,2.93
2017-03-31,2.9
2017-03-30,2.92
2017-03-29,2.92
2017-03-28,2.94
2017-03-27,2.95
2017-03-24,2.98
2017-03-23,2.97
2017-03-22,3
2017-03-21,2.95
2017-03-20,2.95
2017-03-17,2.95
2017-03-16,2.96
2017-03-15,2.93
2017-03-14,2.92
2017-03-13,2.94
2017-03-09,2.89
2017-03-08,2.88
2017-03-07,2.86
2017-03-06,2.86
2017-03-03,2.86
2017-03-02,2.92
2017-03-01,2.91
2017-02-28,2.87
2017-02-27,2.88
2017-02-24,2.84
2017-02-23,2.86
2017-02-22,2.9
2017-02-21,2.92
2017-02-20,2.9
2017-02-17,2.9
2017-02-15,2.88
2017-02-13,2.86
2017-02-10,2.89
2017-02-08,2.93
2017-02-07,2.94
2017-02-06,2.91
2017-02-03,2.9
2017-02-02,2.87
2017-02-01,2.86
2017-01-31,2.88
2017-01-30,2.87
2017-01-27,2.89
2017-01-26,2.94
2017-01-25,2.95
2017-01-24,2.94
2017-01-23,2.92
2017-01-18,2.95
2017-01-17,2.94
2017-01-16,2.93
2017-01-12,2.9
2017-01-11,2.92
2017-01-10,2.9
2017-01-09,2.83
2017-01-06,2.84
2017-01-05,2.88
2017-01-04,2.85
2017-01-03,2.89
2016-12-30,2.91
2016-12-29,2.91
2016-12-28,2.89
2016-12-23,2.89
2016-12-22,2.9
2016-12-21,2.88
2016-12-20,2.88
2016-12-19,2.86
2016-12-16,2.83
2016-12-15,2.79
2016-12-14,2.8
2016-12-13,2.79
2016-12-12,2.78
2016-12-09,2.71
2016-12-08,2.73
2016-12-07,2.7
2016-12-06,2.65
2016-12-05,2.6
2016-12-02,2.6
2016-12-01,2.64
2016-11-30,2.67
2016-11-29,2.64
2016-11-28,2.69
2016-11-25,2.69
2016-11-24,2.65
2016-11-22,2.64
2016-11-21,2.63
2016-11-18,2.59
2016-11-17,2.58
2016-11-16,2.58
2016-11-15,2.54
2016-11-14,2.53
2016-11-11,2.57
2016-11-10,2.53
2016-11-09,2.52
2016-11-08,2.52
2016-11-07,2.5
2016-11-04,2.48
2016-11-03,2.54
2016-11-02,2.58
2016-11-01,2.56
2016-10-31,2.55
2016-10-28,2.54
2016-10-27,2.54
2016-10-26,2.5
2016-10-25,2.5
2016-10-24,2.48
2016-10-21,2.43
2016-10-20,2.37
2016-10-19,2.35
2016-10-18,2.36
2016-10-17,2.36
2016-10-14,2.38
2016-10-13,2.38
2016-10-12,2.42
2016-10-11,2.4
2016-10-10,2.4
2016-10-07,2.44
2016-10-06,2.44
2016-10-05,2.41
2016-10-04,2.45
2016-10-03,2.41
2016-09-30,2.46
2016-09-29,2.53
2016-09-28,2.54
2016-09-27,2.57
2016-09-26,2.59
2016-09-23,2.58
2016-09-22,2.64
2016-09-21,2.64
2016-09-20,2.62
2016-09-19,2.63
2016-09-16,2.64
2016-09-15,2.62
2016-09-14,2.63
2016-09-13,2.65
2016-09-12,2.73
2016-09-09,2.71
2016-09-08,2.68
2016-09-07,2.66
2016-09-06,2.64
2016-09-05,2.64
2016-09-02,2.73
2016-09-01,2.74
2016-08-31,2.77
2016-08-30,2.73
2016-08-26,2.78
2016-08-25,2.76
2016-08-24,2.78
2016-08-23,2.81
2016-08-22,2.8
2016-08-19,2.81
2016-08-18,2.83
2016-08-17,2.84
2016-08-16,2.86
2016-08-15,2.89
2016-08-12,2.84
2016-08-11,2.85
2016-08-10,2.84
2016-08-09,2.85
2016-08-08,2.86
2016-08-05,2.85
2016-08-04,2.85
2016-08-03,2.88
2016-08-02,2.87
2016-08-01,2.88
2016-07-29,2.82
2016-07-27,2.89
2016-07-26,2.88
2016-07-25,2.87
2016-07-22,2.77
2016-07-21,2.78
2016-07-20,2.87
2016-07-19,2.87
2016-07-18,2.9
2016-07-15,2.91
2016-07-14,2.95
2016-07-13,2.92
2016-07-12,2.9
2016-07-11,2.93
2016-07-08,2.96
2016-07-07,2.98
2016-07-06,3.02
2016-07-05,3.03
2016-07-04,3.04
2016-07-01,3.05
2016-06-30,3.06
2016-06-29,3.05
2016-06-28,3.03
2016-06-27,3.03
2016-06-24,3.04
2016-06-23,3.06
2016-06-22,3.07
2016-06-21,3.07
2016-06-17,3.13
2016-06-16,3.1
2016-06-15,3.13
2016-06-13,3.11
2016-06-10,3.18
2016-06-09,3.18
2016-06-08,3.15
2016-06-06,3.19
2016-06-03,3.16
2016-06-02,3.13
2016-06-01,3.1
2016-05-31,3.1
2016-05-27,3.05
2016-05-26,3.01
2016-05-25,3
2016-05-23,2.97
2016-05-20,3.07
2016-05-19,3.1
2016-05-18,3.14
2016-05-17,3.14
2016-05-16,3.14
2016-05-13,3.1
2016-05-12,3.15
2016-05-11,3.15
2016-05-10,3.12
2016-05-09,3.11
2016-05-06,3.09
2016-05-05,3.07
2016-05-04,3.05
2016-05-03,3.04
2016-04-29,3
2016-04-28,3.01
2016-04-27,3.01
2016-04-26,3
2016-04-25,2.95
2016-04-22,2.97
2016-04-21,3.01
2016-04-20,3.02
2016-04-19,3.02
2016-04-18,3.01
2016-04-15,3.05
2016-04-14,3.06
2016-04-13,3.08
2016-04-12,3.1
2016-04-11,3.13
2016-04-08,3.13
2016-04-07,3.08
2016-04-06,3.09
2016-04-01,3.11
2016-03-31,3.13
2016-03-30,3.11
2016-03-29,3.19
2016-03-22,3.18
2016-03-21,3.19
2016-03-18,3.28
2016-03-17,3.27
2016-03-16,3.29
2016-03-14,3.26
2016-03-11,3.26
2016-03-10,3.2255
2016-03-09,3.185
2016-03-08,3.1775
2016-03-07,3.1565
2016-03-04,3.1725
2016-03-03,3.148
2016-03-02,3.1875
2016-03-01,3.174
2016-02-29,3.195
2016-02-26,3.2085
2016-02-25,3.2085
2016-02-24,3.15
2016-02-23,3.1405
2016-02-22,3.136
2016-02-19,3.1295
2016-02-18,3.1805
2016-02-17,3.1405
2016-02-16,3.074
2016-02-15,3.0745
2016-02-12,3.088
2016-02-10,3.087
2016-02-09,3.1055
2016-02-08,3.0985
2016-02-05,3.1555
2016-02-04,3.168
2016-02-03,3.1645
2016-02-02,3.129
2016-02-01,3.141
2016-01-29,3.1645
2016-01-27,3.1505
2016-01-26,3.102
2016-01-25,3.11
2016-01-22,3.108
2016-01-21,3.002
2016-01-20,2.9905
2016-01-19,3.049
2016-01-18,3.0135
2016-01-15,3.0065
2016-01-14,3.068
2016-01-13,3.075
2016-01-12,3.0835
2016-01-11,3.0335
2016-01-08,3.085
2016-01-07,3.116
2016-01-06,3.125
2016-01-05,3.1415
2016-01-04,3.069
2015-12-31,3.12
2015-12-30,3.1035
2015-12-29,3.086
2015-12-24,3.0625
2015-12-23,3.046
2015-12-22,2.981
2015-12-21,2.997
2015-12-18,2.916
2015-12-17,2.8545
2015-12-16,2.9155
2015-12-15,2.928
2015-12-14,2.9565
2015-12-11,2.9605
2015-12-10,2.9435
2015-12-09,2.927
2015-12-08,2.979
2015-12-07,2.9365
2015-12-04,2.966
2015-12-03,2.9705
2015-12-02,3.056
2015-12-01,3.033
2015-11-30,3.0095
2015-11-27,3.034
2015-11-26,3.023
2015-11-25,3.03
2015-11-24,3.016
2015-11-23,3.05
2015-11-20,3.0465
2015-11-19,3.0085
2015-11-18,3.0025
2015-11-17,2.964
2015-11-16,2.9235
2015-11-13,3.0025
2015-11-12,3.0685
2015-11-11,3.02
2015-11-10,2.9845
2015-11-09,2.9985
2015-11-06,3.06
2015-11-05,3.138
2015-11-04,3.1495
2015-11-03,3.2295
2015-11-02,3.2365
2015-10-30,3.281
2015-10-29,3.3065
2015-10-28,3.3195
2015-10-27,3.2915
2015-10-26,3.351
2015-10-23,3.349
2015-10-22,3.4075
2015-10-21,3.44
2015-10-20,3.444
2015-10-19,3.376
2015-10-16,3.318
2015-10-15,3.3185
2015-10-14,3.3495
2015-10-13,3.3505
2015-10-12,3.3525
2015-10-09,3.3255
2015-10-08,3.2925
2015-10-07,3.3035
2015-10-06,3.2175
2015-10-05,3.2225
2015-10-02,3.218
2015-10-01,3.206
2015-09-30,3.2865
2015-09-29,3.269
2015-09-28,3.3115
2015-09-25,3.3235
2015-09-24,3.2555
2015-09-23,3.2755
2015-09-22,3.3235
2015-09-21,3.335
2015-09-18,3.3155
2015-09-17,3.3335
2015-09-16,3.303
2015-09-15,3.3745
2015-09-14,3.343
2015-09-11,3.327
2015-09-10,3.4005
2015-09-09,3.4035
2015-09-08,3.373
2015-09-07,3.3645
2015-09-04,3.38
2015-09-03,3.396
2015-09-02,3.369
2015-09-01,3.34
2015-08-28,3.3675
2015-08-27,3.363
2015-08-25,3.36
2015-08-21,3.3375
2015-08-20,3.3845
2015-08-19,3.3625
2015-08-18,3.415
2015-08-17,3.403
2015-08-14,3.4285
2015-08-13,3.379
2015-08-12,3.397
2015-08-11,3.39
2015-08-10,3.3975
2015-08-07,3.4145
2015-08-06,3.438
2015-08-05,3.4275
2015-08-04,3.427
2015-08-03,3.4135
2015-07-31,3.3845
2015-07-30,3.418
2015-07-29,3.418
2015-07-28,3.3755
2015-07-27,3.3305
2015-07-24,3.358
2015-07-23,3.3805
2015-07-22,3.415
2015-07-21,3.3655
2015-07-20,3.4105
2015-07-17,3.4035
2015-07-16,3.43
2015-07-15,3.4525
2015-07-14,3.458
2015-07-13,3.3945
2015-07-10,3.4325
2015-07-09,3.478
2015-07-08,3.506
2015-07-07,3.501
2015-07-06,3.507
2015-07-03,3.5195
2015-07-02,3.502
2015-07-01,3.489
2015-06-30,3.4445
2015-06-29,3.4355
2015-06-26,3.424
2015-06-25,3.4125
2015-06-24,3.454
2015-06-23,3.4805
2015-06-22,3.449
2015-06-19,3.472
2015-06-18,3.4955
2015-06-17,3.5025
2015-06-16,3.4995
2015-06-15,3.4915
2015-06-12,3.524
2015-06-11,3.5895
2015-06-10,3.612
2015-06-09,3.577
2015-06-08,3.577
2015-06-05,3.5995
2015-06-04,3.577
2015-06-03,3.607
2015-06-02,3.6285
2015-06-01,3.642
2015-05-29,3.656
2015-05-28,3.6695
2015-05-27,3.6225
2015-05-26,3.6105
2015-05-22,3.6155
2015-05-21,3.601
2015-05-20,3.5815
2015-05-19,3.588
2015-05-18,3.5895
2015-05-15,3.603
2015-05-14,3.6595
2015-05-13,3.6235
2015-05-12,3.585
2015-05-11,3.6255
2015-05-08,3.5995
2015-05-07,3.578
2015-05-06,3.5915
2015-05-05,3.5815
2015-05-01,3.5335
2015-04-30,3.5575
2015-04-29,3.5515
2015-04-28,3.5435
2015-04-27,3.5335
2015-04-24,3.5305
2015-04-23,3.4715
2015-04-22,3.3995
2015-04-21,3.4135
2015-04-20,3.4145
2015-04-17,3.503
2015-04-16,3.496
2015-04-15,3.4895
2015-04-14,3.511
2015-04-13,3.504
2015-04-09,3.499
2015-04-08,3.5145
2015-04-07,3.4985
2015-04-02,3.5025
2015-04-01,3.4955
2015-03-31,3.541
2015-03-30,3.4905
2015-03-27,3.4965
2015-03-26,3.484
2015-03-25,3.47
2015-03-24,3.5005
2015-03-23,3.471
2015-03-20,3.4405
2015-03-19,3.449
2015-03-18,3.425
2015-03-17,3.4105
2015-03-16,3.3845
2015-03-13,3.3845
2015-03-12,3.3855
2015-03-11,3.4485
2015-03-10,3.438
2015-03-09,3.4535
2015-03-06,3.4355
2015-03-05,3.497
2015-03-04,3.4375
2015-03-03,3.4565
2015-03-02,3.4855
2015-02-27,3.411
2015-02-26,3.421
2015-02-25,3.413
2015-02-24,3.394
2015-02-23,3.435
2015-02-20,3.4355
2015-02-19,3.432
2015-02-18,3.3895
2015-02-17,3.395
2015-02-16,3.443
2015-02-13,3.4455
2015-02-12,3.388
2015-02-11,3.403
2015-02-10,3.459
2015-02-09,3.4685
2015-02-06,3.419
2015-02-05,3.3965
2015-02-04,3.455
2015-02-03,3.468
2015-02-02,3.533
2015-01-30,3.506
2015-01-29,3.5655
2015-01-28,3.561
2015-01-27,3.5395
2015-01-26,3.4505
2015-01-23,3.472
2015-01-22,3.591
2015-01-21,3.5515
2015-01-20,3.566
2015-01-19,3.6465
2015-01-16,3.617
2015-01-15,3.677
2015-01-14,3.693
2015-01-13,3.7175
2015-01-07,3.882
2015-01-06,3.853
2015-01-05,3.869
2015-01-02,3.8965
2014-12-31,3.8855
2014-12-30,3.894
2014-12-29,3.9105
2014-12-24,3.828
2014-12-23,3.799
2014-12-22,3.821
2014-12-19,3.769
2014-12-18,3.64
2014-12-17,3.7245
2014-12-16,3.785
2014-12-11,3.9075
2014-12-10,3.9225
2014-12-09,3.932
2014-12-08,3.9335
2014-12-04,4.011
2014-12-03,4.0175
2014-12-02,4.0935
2014-11-28,4.091
2014-11-27,4.0945
2014-11-26,4.112
2014-11-25,4.095
2014-11-24,4.1665
2014-11-21,4.15
2014-11-20,4.1265
2014-11-19,4.1535
2014-11-18,4.153
2014-11-17,4.1595
2014-11-14,4.158
2014-11-13,4.141
2014-11-12,4.0955
2014-11-11,4.0805
2014-11-10,4.082
2014-11-07,4.034
2014-11-06,4.014
2014-11-05,4.021
2014-11-04,4.064
2014-11-03,4.043
2014-10-31,4.029
2014-10-30,4.026
2014-10-29,4.064
2014-10-28,4.0995
2014-10-27,4.0885
2014-10-24,4.0945
2014-10-23,4.08
2014-10-22,4.0985
2014-10-21,4.0965
2014-10-20,4.099
2014-10-17,4.041
2014-10-10,4.1275
2014-10-07,4.168
2014-10-06,4.1465
2014-10-03,4.1265
2014-10-02,4.137
2014-10-01,4.086
2014-09-29,4.0585
2014-09-26,4.0375
2014-09-25,4.007
2014-09-24,4.0465
2014-09-23,4.0385
2014-09-22,4.0195
2014-09-19,4.0255
2014-09-18,3.982
2014-09-17,4.0585
2014-09-16,3.998
2014-09-15,4.0365
2014-09-12,4.0345
2014-09-11,4.091
2014-09-10,4.1045
2014-09-09,4.1
2014-09-08,4.086
2014-09-05,4.092
2014-09-04,4.0225
2014-09-03,3.94
2014-09-02,3.928
2014-09-01,3.8835
2014-08-29,3.8495
2014-08-27,3.79
2014-08-26,3.784
2014-08-22,3.736
2014-08-21,3.682
2014-08-20,3.6945
2014-08-19,3.7735
2014-08-18,3.769
2014-08-14,3.745
2014-08-13,3.784
2014-08-12,3.8165
2014-08-11,3.8595
2014-08-08,3.882
2014-08-07,3.94
2014-08-06,3.994
2014-08-05,4.022
2014-08-04,4.032
2014-08-01,3.9975
2014-07-31,4.0685
2014-07-30,4.127
2014-07-29,4.1115
2014-07-28,4.14
2014-07-25,4.1315
2014-07-24,4.1115
2014-07-23,4.15
2014-07-22,4.162
2014-07-21,4.1515
2014-07-18,4.143
2014-07-17,4.115
2014-07-16,4.1155
2014-07-15,4.1205
2014-07-14,4.106
2014-07-11,4.0575
2014-07-10,4.094
2014-07-09,4.186
2014-07-08,4.2205
2014-07-07,4.277
2014-07-04,4.2455
2014-07-03,4.237
2014-07-02,4.175
2014-07-01,4.1635
2014-06-30,4.1815
2014-06-27,4.17
2014-06-26,4.153
2014-06-25,4.135
2014-06-24,4.14
2014-06-23,4.0735
2014-06-20,4.084
2014-06-19,4.101
2014-06-18,4.0315
2014-06-17,4.076
2014-06-16,4.0855
2014-06-13,4.1085
2014-06-12,4.031
2014-06-11,4.032
2014-06-10,4.032
2014-06-09,4.03
2014-06-06,3.979
2014-06-05,3.947
2014-06-04,3.921
2014-06-03,3.93
2014-06-02,3.887
2014-05-30,3.884
2014-05-29,3.905
2014-05-28,3.8655
2014-05-27,3.909
2014-05-23,3.9175
2014-05-22,3.963
2014-05-21,3.992
2014-05-20,3.9835
2014-05-19,3.941
2014-05-16,3.929
2014-05-15,3.936
2014-05-14,3.979
2014-05-13,3.947
2014-05-12,3.948
2014-05-09,3.943
2014-05-08,3.9375
2014-05-07,3.96
2014-05-06,3.995
2014-05-02,3.9785
2014-05-01,3.979
2014-04-30,3.95
2014-04-29,3.964
2014-04-28,3.965
2014-04-25,3.975
2014-04-24,3.97
2014-04-23,3.924
2014-04-22,3.932
2014-04-17,3.93
2014-04-16,3.921
2014-04-15,3.945
2014-04-14,3.935
2014-04-11,3.916
2014-04-10,3.9
2014-04-09,3.915
2014-04-08,3.875
2014-04-07,3.886
2014-04-04,3.888
2014-04-03,3.9765
2014-04-02,3.985
2014-04-01,4.0185
2014-03-31,4.028
2014-03-28,4.0785
2014-03-27,4.0725
2014-03-26,4.007
2014-03-25,3.962
2014-03-24,4.013
2014-03-21,4.0325
2014-03-20,4.066
2014-03-19,4.105
2014-03-18,4.119
2014-03-17,4.075
2014-03-14,4.034
2014-03-13,4.012
2014-03-12,3.9845
2014-03-11,3.963
2014-03-10,3.962
2014-03-07,3.923
2014-03-06,3.9095
2014-03-05,3.9185
2014-03-04,3.9425
2014-03-03,3.891
2014-02-28,3.833
2014-02-27,3.831
2014-02-26,3.759
2014-02-25,3.718
2014-02-21,3.667
2014-02-19,3.7006
2014-02-18,3.68
2014-02-12,3.591
2014-02-11,3.591
2014-02-10,3.614
2014-02-06,3.588
2014-02-03,3.591
2014-01-13,3.5023
2014-01-10,3.511
2014-01-08,3.518
2014-01-06,3.455
2014-01-02,3.455
2013-12-13,3.479
2013-12-11,3.5044
2013-12-09,3.492
2013-12-06,3.49
2013-12-05,3.5255
2013-12-04,3.5323
2013-12-02,3.556
2013-11-27,3.5297
2013-11-22,3.506
2013-11-19,3.521
2013-11-14,3.531
2013-11-13,3.561
2013-11-11,3.582
2013-11-08,3.573
2013-11-01,3.59
2013-10-30,3.6435
2013-10-29,3.665
2013-10-17,3.603
2013-10-16,3.576
2013-10-03,3.549
2013-10-02,3.5363
2013-10-01,3.5345
2013-09-30,3.544
2013-09-27,3.571
2013-09-20,3.5085
2013-09-19,3.5316
2013-09-16,3.502
2013-09-12,3.515
2013-09-05,3.501
2013-09-03,3.492
2013-09-02,3.494
2013-08-30,3.4845
2013-08-28,3.4756
2013-08-27,3.473
2013-08-21,3.4815
2013-08-19,3.513
2013-08-16,3.5333
2013-08-15,3.5333
2013-08-14,3.512
2013-08-13,3.4935
2013-07-30,3.4015
2013-07-29,3.4465
2013-07-24,3.442
2013-07-11,3.4457
2013-07-08,3.458
2013-07-05,3.468
2013-07-04,3.455
2013-07-01,3.4532
2013-06-28,3.503
2013-06-25,3.465
2013-06-18,3.406
2013-06-13,3.428
2013-06-11,3.394
2013-06-10,3.388
2013-06-07,3.3835
2013-05-31,3.3465
2013-05-28,3.333
2013-05-24,3.331
2013-05-20,3.296
2013-05-16,3.335
2013-05-15,3.353
2013-05-08,3.358
2013-05-07,3.3577
2013-05-03,3.404
2013-05-02,3.4185
2013-05-01,3.384
2013-04-29,3.4
2013-04-19,3.343
2013-04-17,3.337
2013-04-16,3.294
2013-04-15,3.2894
2013-04-12,3.3216
2013-04-11,3.331
2013-04-08,3.3665
2013-04-05,3.3655
2013-04-04,3.391
2013-04-03,3.3915
2013-04-02,3.4045
2013-03-28,3.3945
2013-03-27,3.3605
2013-03-26,3.3655
2013-03-25,3.351
2013-03-22,3.342
2013-03-21,3.355
2013-03-20,3.3145
2013-03-19,3.3115
2013-03-18,3.3335
2013-03-15,3.3345
2013-03-14,3.3665
2013-03-13,3.4
2013-03-12,3.405
2013-03-11,3.3935
2013-03-08,3.391
2013-03-07,3.411
2013-03-06,3.3815
2013-03-05,3.418
2013-03-04,3.4265
2013-03-01,3.4405
2013-02-28,3.4335
2013-02-27,3.4275
2013-02-26,3.4035
2013-02-25,3.4105
2013-02-22,3.4255
2013-02-21,3.4135
2013-02-20,3.4195
2013-02-19,3.4565
2013-02-18,3.485
2013-02-14,3.4625
2013-02-13,3.4935
2013-02-12,3.489
2013-02-11,3.514
2013-02-08,3.5365
2013-02-07,3.53
2013-02-06,3.5415
2013-02-05,3.5675
2013-02-04,3.58
2013-02-01,3.598
2013-01-31,3.6195
2013-01-30,3.6155
2013-01-29,3.6105
